p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.6208171369955e-13	0.318124862062805	0.511	0.422	5.36892743147508e-09	2	LOC107451734
5.42017751500245e-13	0.368036559298627	0.408	0.322	6.29770425468134e-09	2	LOC107453126
3.4377169100229e-12	0.286592829984162	0.572	0.491	3.99428327775561e-08	2	LOC107449281
6.43074486104731e-12	0.476831505301833	0.264	0.196	7.47188245405087e-08	2	LOC107442189
1.64189372976871e-11	0.453348159529333	0.319	0.248	1.90771632461827e-07	2	LOC107439419
1.77870754261807e-11	0.277005636308193	0.528	0.441	2.06668029376794e-07	2	LOC107456988
2.2744483225601e-11	0.308204683911985	0.466	0.385	2.64268150598258e-07	2	LOC107456160
2.47446312164338e-11	0.366681041265613	0.342	0.265	2.87507870103744e-07	2	LOC107436592
4.23313542330496e-11	0.360369181898735	0.391	0.315	4.91848004833803e-07	2	LOC107449398
4.63797298712674e-11	0.270139139039182	0.548	0.469	5.38886081374255e-07	2	LOC107441374
6.49697322852599e-11	0.387910892767041	0.374	0.302	7.54883319422435e-07	2	LOC107453040
1.52906991286347e-10	0.357973684617622	0.414	0.342	1.77662633175606e-06	2	LOC107438878
1.89542711100333e-10	0.427741385164388	0.283	0.216	2.20229676027477e-06	2	LOC107453619
2.01364609411908e-10	0.332532167506626	0.434	0.36	2.33965539675696e-06	2	LOC107449138
2.48753116620818e-10	0.367501529104558	0.35	0.28	2.89026246201728e-06	2	LOC107444512
4.85130199173837e-10	0.271858883063826	0.292	0.22	5.63672778420081e-06	2	LOC107437748
6.26091347783979e-10	0.266328265228567	0.547	0.471	7.27455536990205e-06	2	LOC107441110
8.1763607499341e-10	0.352843698266756	0.37	0.301	9.50011355534844e-06	2	LOC107440725
0	1.22352406481369	0.555	0.137	0	3	LOC107446990
0	2.92736878942876	0.418	0.069	0	3	LOC107455285
0	2.94389944676389	0.401	0.054	0	3	LOC107438548
0	3.01082847637487	0.289	0.039	0	3	LOC107447499
8.62001058154031e-254	2.25232728727286	0.317	0.064	1.00155902946917e-249	3	LOC107451065
8.75236953397148e-193	1.89553968644046	0.407	0.129	1.01693781615215e-188	3	LOC107452266
6.46456415015665e-146	1.91277497121212	0.262	0.07	7.51117708606701e-142	3	LOC107438841
6.10422186690669e-136	1.74588673394998	0.259	0.071	7.09249538715888e-132	3	LOC107451770
1.88480874682228e-110	1.16941380425437	0.526	0.265	2.18995928293281e-106	3	LOC107440240
3.30210045459086e-103	0.823309152398862	0.587	0.292	3.83671051818912e-99	3	LOC107450669
2.13685692028974e-94	1.08036231750332	0.396	0.172	2.48281405568465e-90	3	LOC107448880
1.24979973047671e-92	1.49118728296724	0.292	0.112	1.45214230684089e-88	3	LOC107449707
2.97141629303542e-85	0.425094893806762	0.991	0.945	3.45248859087786e-81	3	LOC107441347
3.92939000236274e-78	0.615685332380168	0.309	0.124	4.56555824374527e-74	3	LOC107442891
2.12293909909338e-76	0.469710725440786	0.95	0.851	2.4666429392366e-72	3	LOC107438795
9.40002381023931e-75	0.561283327335115	0.862	0.699	1.09218876651171e-70	3	LOC107456524
1.4400025315247e-74	0.687414185613255	0.727	0.508	1.67313894137855e-70	3	LOC107456959
3.77054694076134e-73	0.742637053769851	0.694	0.471	4.38099849047061e-69	3	LOC107457376
6.71828096704078e-71	1.46065466456973	0.251	0.101	7.80597065560469e-67	3	LOC107450937
6.27875536993801e-62	0.75376531510329	0.433	0.235	7.29528586433097e-58	3	LOC107454132
6.54093876963901e-55	0.411242083612786	0.952	0.883	7.59991675644357e-51	3	LOC107457378
2.05329945625859e-53	0.55885698229558	0.289	0.131	2.38572863822686e-49	3	LOC107447905
8.65770869584288e-53	0.786762054889363	0.505	0.32	1.00593917336998e-48	3	LOC107452288
2.801553032665e-51	0.996119242735519	0.34	0.182	3.25512446865346e-47	3	LOC107450426
1.66132231180605e-47	1.04766524455524	0.296	0.154	1.93029039408745e-43	3	LOC107443845
3.66985514828502e-45	0.346983526085221	0.961	0.903	4.26400469679237e-41	3	LOC107444945
7.67522975432746e-45	0.911705163408677	0.342	0.191	8.91784945155308e-41	3	LOC107442189
1.76286515330245e-41	0.590078089166721	0.377	0.215	2.04827302162212e-37	3	LOC139425129
5.3024119743209e-41	0.649293935111409	0.537	0.371	6.16087247296345e-37	3	LOC107454645
4.07984308167296e-40	0.644325078953029	0.557	0.403	4.74036967659581e-36	3	LOC107438068
4.70812742225986e-40	0.735753058642377	0.456	0.298	5.47037325192373e-36	3	LOC107453040
5.8674741965578e-40	0.607043419891691	0.581	0.415	6.8174182689805e-36	3	LOC107446235
1.39576823751298e-38	0.707039524574503	0.481	0.328	1.62174311516634e-34	3	LOC107445296
6.47663164192494e-37	0.803422601893845	0.354	0.213	7.52519830475259e-33	3	LOC107454980
